id,SURFACE_TY,REGION,YR_SURF,Metric,OCI
0006P-Both-15,Asphalt,4,2008,OCI_04,91.44725
0006P-Both-5,Asphalt,4,2003,OCI_04,93.4022
0006P-Both-17,Asphalt,4,2009,OCI_04,96.23633
0006P-Both-12,Asphalt,4,2010,OCI_04,94.33612
0006P-Both-6,Asphalt,4,2010,OCI_04,93.4022
0006P-Both-413,Asphalt,3,2007,OCI_04,77.26373
0006P-Both-18,Asphalt,4,2011,OCI_04,96.22897
0006P-Both-34,Asphalt,4,2011,OCI_04,72.41481
0006P-Both-26,Asphalt,4,2011,OCI_04,97.27608
0006P-Both-390,Asphalt,3,2003,OCI_04,95.90816
0006P-Both-9,Asphalt,4,2009,OCI_04,94.33612
0006P-Both-25,Asphalt,4,2011,OCI_04,97.27608
0006P-Both-23,Asphalt,4,2011,OCI_04,97.27608
0006P-Both-203,Asphalt,4,2008,OCI_04,78.14684
0006P-Both-16,Asphalt,4,2007,OCI_04,83.7736
0006P-Both-19,Asphalt,4,2006,OCI_04,99.50819
0006P-Both-27,Asphalt,4,2011,OCI_04,97.27608
0006P-Both-21,Asphalt,4,2003,OCI_04,97.27608
0006P-Both-30,Asphalt,4,2009,OCI_04,93.89819
0006P-Both-392,Asphalt,3,2006,OCI_04,93.72374
0006P-Both-326,Asphalt,4,2009,OCI_04,88.73692
0006P-Both-8,Asphalt,4,2007,OCI_04,92.56725
0006P-Both-2,Asphalt,3,2000,OCI_04,96.33584
0006P-Both-22,Asphalt,4,2010,OCI_04,97.27608
0006P-Both-11,Asphalt,4,2009,OCI_04,95.63381
0006P-Both-13,Asphalt,4,2010,OCI_04,95.44195
0006P-Both-1,Asphalt,3,2011,OCI_04,96.36244
0006P-Both-300,Asphalt,4,2008,OCI_04,95.9453
0006P-Both-83,Asphalt,3,2006,OCI_04,88.01995
0006P-Both-222,Asphalt,3,2009,OCI_04,99.06093
0006P-Both-80,Asphalt,4,2010,OCI_04,84.85063
0006P-Both-3,Asphalt,3,2003,OCI_04,97.76218
0006P-Both-382,Asphalt,3,2004,OCI_04,97.82199
0006P-Both-31,Asphalt,4,2007,OCI_04,96.01
0006P-Both-357,Asphalt,3,2012,OCI_04,96.51605
0006P-Both-28,Asphalt,4,2009,OCI_04,93.6425
0006P-Both-4,Asphalt,4,2005,OCI_04,91.55833
0006P-Both-317,Asphalt,4,2010,OCI_04,84.87845
0006P-Both-10,Asphalt,4,2006,OCI_04,98.4977
0006P-Both-98,Asphalt,4,2010,OCI_04,84.87845
0006P-Both-7,Asphalt,4,2012,OCI_04,93.4022
0006P-Both-20,Asphalt,4,2010,OCI_04,84.87845
0006P-Both-168,Asphalt,3,2007,OCI_04,80.66895
0006P-Both-270,Asphalt,3,2004,OCI_04,97.88487
0006P-Both-157,Asphalt,3,2004,OCI_04,93.98242
0006P-Both-173,Asphalt,4,2010,OCI_04,84.87845
0006P-Both-49,Asphalt,4,2006,OCI_04,93.26526
0006P-Both-281,Asphalt,4,2010,OCI_04,84.87845
0006P-Both-177,Asphalt,3,2010,OCI_04,86.07139
0006P-Both-307,Asphalt,4,2012,OCI_04,91.28857
0006P-Both-366,Asphalt,4,2006,OCI_04,83.40546
0007P-Both-29,Asphalt,4,2010,OCI_04,0
0008P-Both-385,Asphalt,4,2009,OCI_04,69.85975
0009P-Both-50,Asphalt,4,2005,OCI_04,93.57812
0009P-Both-301,Asphalt,4,2005,OCI_04,90.6731
0009P-Both-274,Asphalt,4,2010,OCI_04,74.71451
0009P-Both-190,Asphalt,4,2012,OCI_04,86.89952
0009P-Both-142,Asphalt,4,2011,OCI_04,86.89952
0009P-Both-97,Asphalt,4,2007,OCI_04,79.86924
0009P-Both-32,Asphalt,4,2010,OCI_04,75.62951
0009P-Both-405,Asphalt,4,2012,OCI_04,86.89339
0009P-Both-193,Asphalt,4,2012,OCI_04,91.44465
0010P-Both-192,Asphalt,4,2011,OCI_04,93.64469
0010P-Both-258,Asphalt,4,2011,OCI_04,95.04782
0010P-Both-365,Asphalt,4,2011,OCI_04,96.20795
0010P-Both-380,Asphalt,4,2009,OCI_04,91.14287
0010P-Both-306,Asphalt,4,2009,OCI_04,90.87842
0010P-Both-249,Asphalt,4,2011,OCI_04,90.00341
0010P-Both-194,Asphalt,4,2011,OCI_04,92.54914
0010P-Both-376,Asphalt,4,2010,OCI_04,79.36753
0010P-Both-272,Asphalt,4,2007,OCI_04,97.76735
0010P-Both-147,Asphalt,4,2006,OCI_04,94.23553
