id,SURFACE_TY,REGION,YR_SURF,CLASS,MILES,AADT_2011,obs_year,OCI,year
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_04,96.36244,2004
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_05,89.93015,2005
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_06,90.22396,2006
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_07,86.52546,2007
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_08,82.41007,2008
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_09,86.3288,2009
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_10,76.64301,2010
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_11,83.83437,2011
0006P-Both-1,Asphalt,3,2011,Level 1,3.91,7210,OCI_12,93.86781,2012
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_04,98.4977,2004
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_05,94.87736,2005
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_06,95.39695,2006
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_07,85.95956,2007
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_08,87.53631,2008
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_09,87.69241,2009
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_10,86.79717,2010
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_11,81.29077,2011
0006P-Both-10,Asphalt,4,2006,Level 1,6.55,6270,OCI_12,84.56012,2012
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_04,95.63381,2004
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_05,86.79644,2005
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_06,54.6657,2006
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_07,87.19309,2007
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_08,77.96091,2008
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_09,74.01791,2009
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_10,80.74409,2010
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_11,92.99988,2011
0006P-Both-11,Asphalt,4,2009,Level 1,3.8,4205,OCI_12,90.25607,2012
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_04,94.33612,2004
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_05,57.55473,2005
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_06,84.98716,2006
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_07,69.4816,2007
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_08,78.86104,2008
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_09,85.84004,2009
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_10,65.84299,2010
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_11,94.20187,2011
0006P-Both-12,Asphalt,4,2010,Level 1,1.19,6270,OCI_12,92.26741,2012
0006P-Both-13,Asphalt,4,2010,Level 1,3.84,6487,OCI_04,95.44195,2004
