id,SURFACE_TY,REGION,YR_SURF,AADT_2011,year,OCI
0006P-Both-1,Asphalt,3,2011,7210,2004,96.36244
0006P-Both-1,Asphalt,3,2011,7210,2005,89.93015
0006P-Both-1,Asphalt,3,2011,7210,2006,90.22396
0006P-Both-1,Asphalt,3,2011,7210,2007,86.52546
0006P-Both-1,Asphalt,3,2011,7210,2008,82.41007
0006P-Both-1,Asphalt,3,2011,7210,2009,86.3288
0006P-Both-1,Asphalt,3,2011,7210,2010,76.64301
0006P-Both-1,Asphalt,3,2011,7210,2011,83.83437
0006P-Both-1,Asphalt,3,2011,7210,2012,93.86781
0006P-Both-10,Asphalt,4,2006,6270,2004,98.4977
0006P-Both-10,Asphalt,4,2006,6270,2005,94.87736
0006P-Both-10,Asphalt,4,2006,6270,2006,95.39695
0006P-Both-10,Asphalt,4,2006,6270,2007,85.95956
0006P-Both-10,Asphalt,4,2006,6270,2008,87.53631
0006P-Both-10,Asphalt,4,2006,6270,2009,87.69241
0006P-Both-10,Asphalt,4,2006,6270,2010,86.79717
0006P-Both-10,Asphalt,4,2006,6270,2011,81.29077
0006P-Both-10,Asphalt,4,2006,6270,2012,84.56012
0006P-Both-11,Asphalt,4,2009,4205,2004,95.63381
0006P-Both-11,Asphalt,4,2009,4205,2005,86.79644
0006P-Both-11,Asphalt,4,2009,4205,2006,54.6657
0006P-Both-11,Asphalt,4,2009,4205,2007,87.19309
0006P-Both-11,Asphalt,4,2009,4205,2008,77.96091
0006P-Both-11,Asphalt,4,2009,4205,2009,74.01791
0006P-Both-11,Asphalt,4,2009,4205,2010,80.74409
0006P-Both-11,Asphalt,4,2009,4205,2011,92.99988
0006P-Both-11,Asphalt,4,2009,4205,2012,90.25607
0006P-Both-12,Asphalt,4,2010,6270,2004,94.33612
0006P-Both-12,Asphalt,4,2010,6270,2005,57.55473
0006P-Both-12,Asphalt,4,2010,6270,2006,84.98716
0006P-Both-12,Asphalt,4,2010,6270,2007,69.4816
0006P-Both-12,Asphalt,4,2010,6270,2008,78.86104
0006P-Both-12,Asphalt,4,2010,6270,2009,85.84004
0006P-Both-12,Asphalt,4,2010,6270,2010,65.84299
0006P-Both-12,Asphalt,4,2010,6270,2011,94.20187
0006P-Both-12,Asphalt,4,2010,6270,2012,92.26741
0006P-Both-13,Asphalt,4,2010,6487,2004,95.44195
0006P-Both-13,Asphalt,4,2010,6487,2005,75.50839
0006P-Both-13,Asphalt,4,2010,6487,2006,76.66577
0006P-Both-13,Asphalt,4,2010,6487,2007,75.87425
0006P-Both-13,Asphalt,4,2010,6487,2008,88.38802
0006P-Both-13,Asphalt,4,2010,6487,2009,90.17448
0006P-Both-13,Asphalt,4,2010,6487,2010,81.16627
0006P-Both-13,Asphalt,4,2010,6487,2011,89.88142
0006P-Both-13,Asphalt,4,2010,6487,2012,93.81385
0006P-Both-15,Asphalt,4,2008,11623,2004,91.44725
0006P-Both-15,Asphalt,4,2008,11623,2005,79.06928
0006P-Both-15,Asphalt,4,2008,11623,2006,81.05232
0006P-Both-15,Asphalt,4,2008,11623,2007,87.05538
0006P-Both-15,Asphalt,4,2008,11623,2008,90.61498
0006P-Both-15,Asphalt,4,2008,11623,2009,89.71493
0006P-Both-15,Asphalt,4,2008,11623,2010,59.25614
0006P-Both-15,Asphalt,4,2008,11623,2011,63.03391
0006P-Both-15,Asphalt,4,2008,11623,2012,59.6411
0006P-Both-157,Asphalt,3,2004,2973,2004,93.98242
0006P-Both-157,Asphalt,3,2004,2973,2005,93.0989
0006P-Both-157,Asphalt,3,2004,2973,2006,81.64121
0006P-Both-157,Asphalt,3,2004,2973,2007,75.93639
0006P-Both-157,Asphalt,3,2004,2973,2008,85.676
0006P-Both-157,Asphalt,3,2004,2973,2009,82.45329
0006P-Both-157,Asphalt,3,2004,2973,2010,69.61574
0006P-Both-157,Asphalt,3,2004,2973,2011,80.64661
0006P-Both-157,Asphalt,3,2004,2973,2012,81.14018
0006P-Both-16,Asphalt,4,2007,11080,2004,83.7736
0006P-Both-16,Asphalt,4,2007,11080,2005,75.96218
0006P-Both-16,Asphalt,4,2007,11080,2006,72.57453
