ROUTE,DIR,MILES,LOCATION,REGION,OBJECTID,SURFACE_TY,SURF_AREA,YR_OVL,YR_SURF,OCI_12,OCI_11,OCI_10,OCI_09,OCI_08,OCI_07,OCI_06,OCI_05,OCI_04,RIDE_12,RIDE_11,RIDE_10,RIDE_09,RIDE_08,RIDE_07,RIDE_06,RIDE_05,RIDE_04,RUT_12,RUT_11,RUT_10,RUT_09,RUT_08,RUT_07,RUT_06,RUT_05,RUT_04,ENV_12,ENV_11,ENV_10,ENV_09,ENV_08,ENV_07,ENV_06,ENV_05,ENV_04,WPCK_12,WPCK_11,WPCK_10,WPCK_09,WPCK_08,WPCK_07,WPCK_06,WPCK_05,WPCK_04,JTSP_12,JTSP_11,JTSP_10,JTSP_09,JTSP_08,JTSP_07,JTSP_06,JTSP_05,JTSP_04,FALT_12,FALT_11,FALT_10,FALT_09,FALT_08,FALT_07,FALT_06,FALT_05,SLAB_12,CONK_06,CONK_05,CONK_04,FROM_,TO_,FALT_04,SLAB_11,SLAB_10,SLAB_09,SLAB_08,SLAB_07,SQ_YARD,SHAPE_Length,OID_,BMP,EMP,LEVEL_2013,LEVEL_2012,L_CHGE_201,NHS,AADT_2011,COMBOS,Shape_Leng,id,delta_t
0006P,Both,0.513,SR-139 to Carbonville Rd,4,15,Asphalt,3.617,2002,2008,59.6411,63.03391,59.25614,89.71493,90.61498,87.05538,81.05232,79.06928,91.44725,88.25263,81.46979,85.66004,86.06886,87.80121,85.98324,74.11,85.44249,85.34443,82.27719,78.50877,84.36316,78.36082,80.66959,84.94087,83.78248,80.6923,100,68.03457,51.41609,56.79406,98.05057,94.26171,80.35088,82.74854,82.74854,82.74854,0,40.74101,10.20729,96.37949,99.72743,96.94652,83.56826,67.3938,97.69605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.823,236.336,,,,,,,25463.68,939.723382676853,15,235.823,236.336,Level 1,Level 1,No,Yes,11623,1374,939.723382677,0006P-Both-15,6
0006P,Both,0.942,Tie Fork Rd to Tucker,4,5,Asphalt,6.35,1984,2003,34.37749,49.21118,43.01609,50.49375,87.36977,78.37121,81.41534,83.87446,93.4022,67.50998,82.23015,81.93291,85.17281,86.89159,87.94421,91.63908,94.34456,93.9662,70,70,76.4,78.51792,77.7,84.21705,88.35036,83.65159,100,0,19.9844,0,0,86.5163,70,50,100,90,0,24.63019,13.73146,38.28427,98.37119,71.32356,95.67193,57.50171,89.6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.058,203,,,,,,,44704,1975.52125452572,114,202.058,203,Level 1,Level 1,No,Yes,7160,2076,1975.52125453,0006P-Both-5,19
0006P,Both,1.119,Martin Rd to S Helper,4,17,Asphalt,5.75,2009,2009,80.95664,84.92044,79.71645,91.99697,89.29869,77.74362,76.94424,55.54209,96.23633,75.42127,82.0286,80.93727,83.17712,85.19475,67.74638,71.61877,84.89491,84.94531,82.66247,81.47386,83.85723,84.98767,72,84.15818,86.15818,87.27346,100,83.65302,82.58678,79.25937,99.84623,100,70,50,50,100,82.0898,93.59255,74.81193,99.97687,100,89.06991,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.364,233.483,,,,,,,40480,2354.17646300453,81,232.364,233.483,Level 1,Level 1,No,Yes,9228,1396,2352.08159957,0006P-Both-17,0
0006P,Both,1.19,Bristlecone to Emma Park Rd,4,12,Asphalt,7.8,1980,2010,92.26741,94.20187,65.84299,85.84004,78.86104,69.4816,84.98716,57.55473,94.33612,87.1395,92.47395,59.6605,74.1494,62.23153,61.63761,69.97103,77.13315,77.3445,85.24454,87.25378,77.9437,83.87718,70.2,82.71168,89.47873,83.08575,100,97.38721,98.78223,56.20102,88.46272,83.88873,70,90,70,100,99.29839,98.29751,69.56673,96.87085,99.12392,63.5771,90.49888,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.56,221.75,,,,,,,54912,2494.69885130866,239,220.56,221.75,Level 1,Level 1,No,Yes,6270,1379,2494.69885131,0006P-Both-12,30
0006P,Both,1.2,Tucker,4,6,Asphalt,6.35,2010,2010,92.23186,84.13526,55.51912,51.80808,87.42655,78.37121,81.41534,83.87446,93.4022,88.26267,90.9,76.31073,85.0778,86.99768,87.94421,91.63908,94.34456,93.9662,81.92333,86,77.01313,78.56014,77.3,84.21705,88.35036,83.65159,100,99.6471,68.22809,18.76399,4.82663,86.90942,70,50,100,90,99.09433,91.41296,49.98862,38.76776,98.4991,71.32356,95.67193,57.50171,89.6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,204.2,,,,,,,44704,2520.7578183103,252,203,204.2,Level 1,Level 1,No,Yes,7160,2076,2520.75781831,0006P-Both-6,0
0006P,Both,1.22,McCrystal St Eureka W City Limits to Juab Co Line,3,413,Asphalt,3.98,1954,2007,74.57045,62.38345,78.86788,86.57767,82.68247,71.8582,77.79727,76.74481,77.26373,57.69836,61.96066,64.00656,66.16393,61.59607,54.71148,73.98689,75.84262,75.02623,89.6,86.95082,90.80984,88.25082,87.8,82.72131,87.20219,81.13661,86.59016,66.18025,56.40578,68.28959,92.71289,81.33383,50,50,50,50,84.80321,44.21656,92.36552,99.18303,100,100,100,100,97.43852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.78,141,,,,,,,28019.2,2550.02029367829,351,139.78,141,Level 1,Level 2,Yes,No,1269,122,2550.02029368,0006P-Both-413,53
0006P,Both,1.243,Utah Railroad Overpass to Martin Rd,4,18,Asphalt,4.3,2011,2011,92.43984,69.11334,63.28768,81.01812,84.19407,79.83146,77.89726,55.98237,96.22897,91.63411,75.93274,75.38825,79.39566,78.67347,71.69744,79.04111,87.86218,88.57352,85.27442,75.45205,73.60628,78.95205,70.8,82.74909,82.54792,86.0673,100,95.12797,43.49538,54.22405,71.34022,87.41437,70,50,50,100,97.72285,81.57321,49.93214,94.38454,99.88844,94.8793,100,0,96.34236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.121,232.364,,,,,,,30272,2623.20024397112,316,231.121,232.364,Level 1,Level 1,No,Yes,8050,1449,2625.29510815,0006P-Both-18,0
0006P,Both,1.35,Icelander to MP 263.3,4,34,Asphalt,3.91,1960,2011,94.30277,65.35962,66.81183,83.99134,89.11623,89.82593,93.42963,73.11296,72.41481,87.28889,81.79259,80.44444,77.8963,81.11259,75.93333,83.64444,83.85926,87.43704,90.34074,77.37037,81.96667,79.76667,78.3,83.37037,90.07407,80.81481,100,99.69837,57.27821,49.97421,90.75138,97.38122,100,100,50,50,99.88309,44.99731,54.86202,87.551,99.67111,100,100,77.77778,52.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,263.35,,,,,,,27526.4,2819.13873424301,277,262,263.35,Level 1,Level 1,No,Yes,4575,1372,2819.13873424,0006P-Both-34,51
0006P,Both,1.55,MP 273.7 to MP 275.2,4,26,Asphalt,6.24,1961,2011,93.85376,73.89423,55.29314,82.64117,87.87586,93.75392,91.25723,95.65184,97.27608,92.06194,79.19742,85.26484,84.10861,86.08149,85.78081,87.26662,91.48252,92.09382,88.14903,83.99226,85.58879,85.44422,72.5,90.83246,93.55125,91.12484,100,96.81492,59.55419,37.31128,79.61533,94.3852,100,100,100,100,98.38913,72.83306,13.00766,81.39654,98.53674,98.40241,84.21106,100,97.01051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.67,275.22,,,,,,,43929.6,3230.39123058718,259,273.67,275.22,Level 1,Level 1,No,Yes,4575,1372,3230.39123059,0006P-Both-26,50
0006P,Both,1.568,W Santaquin to Temp End at I-15 Santaquin,3,390,Asphalt,8.09,1927,2003,83.298,84.60758,84.28642,89.44155,91.95577,92.75,93.58112,95.23929,95.90816,80.50204,80.68265,85.05918,87.43571,83.87109,86,82.68673,90.5949,91.08163,86.63776,82.87755,88.85459,87.94133,85.5,85,91.63776,90.36224,92.55102,87.19538,85.90824,80.29863,88.95193,98.45199,100,100,100,100,78.85685,88.96188,82.93327,93.43721,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,160.568,,,,,,,56953.6,3289.53264221996,300,159,160.568,Level 1,Level 1,No,No,9214,669,3289.53264222,0006P-Both-390,76
